	3399-OG-10	3399-OG-13	3399-OG-14	3399-OG-15	3399-OG-16	3399-OG-19	3399-OG-20	3399-OG-31	3399-OG-32	3399-OG-33	3399-OG-34	3399-OG-9
DDX11L1	0	0	0	0	0	0	0	0	0	0	0	0
WASH7P	0	0	0	0	0	0	0	0	0	0	0	1
MIR6859-1	0	0	0	0	0	0	0	0	0	0	0	0
MIR1302-2HG	0	0	0	0	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.1	0	0	0	1	1	0	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0
CICP27	0	1	0	0	0	2	1	0	0	0	0	0
AL627309.6	0	0	0	0	0	0	0	0	0	2	0	0
AL627309.7	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.2	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.5	0	0	0	0	0	0	0	0	0	0	0	1
RNU6-1100P	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.4	0	0	0	0	0	0	0	0	0	0	0	0
FO538757.1	0	0	0	0	0	0	0	0	0	0	0	0
WASH9P	0	0	0	0	0	0	0	0	0	0	0	0
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0
AP006222.1	0	0	0	0	0	0	0	0	0	0	0	0
AP006222.2	0	0	0	0	0	0	0	0	0	0	0	0
RPL23AP24	0	0	0	0	0	0	0	0	0	0	0	0
AL732372.1	0	0	0	0	0	0	0	0	0	0	0	0
AL732372.2	0	0	0	0	0	0	1	0	3	0	0	0
WBP1LP7	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0	0	0	0	0	0
AL732372.3	0	0	0	0	0	0	0	0	0	0	0	0
U6	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.3	0	0	0	0	0	0	0	0	0	0	0	0
AC114498.1	0	0	0	0	0	0	0	0	0	0	0	0
MTND1P23	198	139	152	1762	3012	320	322	131	107	110	66	196
MTND2P28	565	161	149	359	534	581	542	149	121	120	98	588
MTCO1P12	133	239	248	321	355	227	192	63	80	57	75	145
AC114498.2	0	0	0	0	0	0	0	0	0	0	0	0
MTCO2P12	52	41	41	55	48	43	35	31	19	25	23	48
MTATP8P1	6	6	1	7	9	9	7	7	3	1	0	3
MTATP6P1	1346	608	613	799	958	2424	1782	395	262	364	394	1389
MTCO3P12	9	8	9	37	33	31	33	5	2	6	3	23
WBP1LP6	0	0	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0
CICP3	1	0	0	0	0	0	0	0	0	0	0	0
AL669831.1	0	1	3	0	1	4	1	0	0	5	0	6
RNU6-1199P	1	0	0	0	0	1	0	0	0	0	0	1
AL669831.2	0	0	0	0	0	0	0	0	0	0	0	0
LINC01409	1	2	3	1	1	0	0	3	1	3	3	0
AL669831.6	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.4	134	119	150	47	51	44	24	223	176	187	139	186
FAM87B	1	0	0	0	0	0	0	0	0	1	0	0
LINC01128	34	52	29	17	28	7	7	39	16	19	20	38
LINC00115	5	5	5	2	10	0	1	2	10	11	5	4
AL669831.7	0	3	2	3	2	0	0	0	0	1	0	1
FAM41C	0	1	0	0	0	0	0	0	0	0	0	0
TUBB8P11	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.6	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.2	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.4	0	0	0	0	0	0	0	0	0	0	0	0
LINC02593	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	15	7	7	4	12	4	6	11	18	6	13	21
KLHL17	0	4	1	0	1	0	1	3	1	3	4	3
PLEKHN1	2	1	5	0	2	3	0	0	2	1	5	2
PERM1	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.7	0	0	0	0	0	0	0	0	1	0	3	0
HES4	1	0	8	1	4	1	1	10	9	4	4	1
ISG15	32	68	2068	33	92	29	15	102	1830	104	1810	69
AL645608.3	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.1	0	0	1	1	0	0	0	0	0	0	0	0
AGRN	3	3	4	0	1	2	0	2	5	2	0	3
AL645608.5	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.1	46	54	82	79	153	80	44	96	86	102	75	61
AL645608.8	0	0	1	0	0	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	10	8	2	1	0	0	1	1	3	3	4	9
AL390719.3	1	7	4	0	1	2	0	9	6	0	3	0
LINC01342	1	0	0	0	0	0	0	2	0	0	0	0
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	2	0
TNFRSF18	20	7	15	3	4	1	4	12	20	7	16	30
TNFRSF4	5	5	5	1	6	0	1	5	5	4	7	6
SDF4	244	270	232	108	253	62	39	150	149	127	132	221
B3GALT6	94	90	114	70	143	18	31	60	81	67	97	93
C1QTNF12	0	1	0	0	0	0	0	0	0	0	0	0
AL162741.1	0	0	0	0	0	0	0	2	0	0	0	0
UBE2J2	98	153	132	83	159	58	33	64	93	77	80	120
LINC01786	0	0	0	0	1	0	0	0	0	0	0	0
SCNN1D	3	5	3	8	14	1	0	23	12	22	7	7
ACAP3	5	2	8	4	4	8	8	3	5	6	4	7
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0
PUSL1	0	0	3	0	0	0	0	1	2	0	1	1
INTS11	9	14	9	4	14	11	2	15	12	10	9	11
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0
AL139287.1	1	1	0	0	1	0	0	0	1	1	0	5
CPTP	11	11	12	20	8	7	1	4	6	5	4	19
TAS1R3	0	0	0	0	1	0	0	1	0	1	0	0
DVL1	13	4	1	15	23	19	6	10	14	14	5	11
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	0	0	0	0	1	0	0	1	2	2	3	0
AURKAIP1	170	115	106	69	84	46	23	65	89	84	65	153
NDUFB4P8	2	0	2	0	0	2	0	0	0	0	0	0
CCNL2	76	107	98	40	42	15	14	87	87	77	97	79
MRPL20-AS1	8	1	8	0	2	3	0	5	1	11	7	1
MRPL20	91	54	64	11	39	13	12	41	20	48	39	89
RN7SL657P	0	0	0	0	0	0	0	0	0	0	0	0
MRPL20-DT	0	3	1	0	0	0	0	0	1	0	0	2
ANKRD65	0	0	0	0	0	0	0	0	0	0	0	0
